number,formid,form.sample_collection_dt,form.coordinates,form.species,form.if_other,form.cnty_name,form.sbcnty_name,form.sbcnty_name1,form.ward_sample,form.ward_sample1,form.sample_source,form.clinical_signs,form.if_known,form.other,completed_time,started_time,username,received_on,form_link,hq_user
66,93a3f4b5-d714-45a5-a6a2-137945e4b502,26/11/2021,-0.1392671 34.3655978 1219.05 4.9,4,---,sia_cnty,---,Rarieda,---,West Asembo,community,1,aggressive excessive_salivation high_libido,---,26/11/2021 07:35,26/11/2021 07:34,tabala,02/12/2021 16:28,https://www.commcarehq.org/a/onewater/reports/form_data/93a3f4b5-d714-45a5-a6a2-137945e4b502/,tabala
67,e7cb6b08-7162-44df-87b5-48cfa8bdb6cc,07/12/2021,-2.2844941 37.8229559 925.37 14.16,3,---,mkn_cnty,Kibwezi_East,---,Thange,---,health_worker,1,aggressive excessive_salivation biting_objects paralysis,---,07/12/2021 08:54,07/12/2021 08:38,jim,09/12/2021 13:41,https://www.commcarehq.org/a/onewater/reports/form_data/e7cb6b08-7162-44df-87b5-48cfa8bdb6cc/,jim
68,38620fcb-6d1b-40b8-acba-ecc31ca13302,14/12/2021,-1.7843445 37.4049005 1801.0 4.08,7,Wild animal (Jacal),mkn_cnty,Kaiti,---,Ilima,---,community,1,aggressive,---,14/12/2021 06:22,14/12/2021 06:19,jim,14/12/2021 06:22,https://www.commcarehq.org/a/onewater/reports/form_data/38620fcb-6d1b-40b8-acba-ecc31ca13302/,jim
69,8b83bf94-8667-4787-9c68-664ed1922dc1,17/12/2021,-0.1395224 34.3553877 1144.2 8.5,1,---,sia_cnty,---,Bondo,---,North Sakwa,health_worker,1,aggressive running_aimlessly hydrophobia paralysis,---,17/12/2021 06:55,17/12/2021 06:48,oigo,17/12/2021 06:57,https://www.commcarehq.org/a/onewater/reports/form_data/8b83bf94-8667-4787-9c68-664ed1922dc1/,oigo
70,84279763-65b7-4b2b-bfd2-e00a196ebbe9,20/12/2021,0.0174978 34.2917777 1306.8 2.83,1,---,sia_cnty,---,Alego_Usonga,---,South East Alego,health_worker,1,aggressive excessive_salivation biting_objects high_libido paralysis,---,20/12/2021 13:34,20/12/2021 13:33,tabala,20/12/2021 13:37,https://www.commcarehq.org/a/onewater/reports/form_data/84279763-65b7-4b2b-bfd2-e00a196ebbe9/,tabala
71,f0181cd2-6c66-4ba6-8716-6ecde8d28563,22/12/2021,-0.0647411 34.1414676 1139.0 6.0,1,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,0,---,---,22/12/2021 07:04,22/12/2021 07:02,oigo,22/12/2021 07:04,https://www.commcarehq.org/a/onewater/reports/form_data/f0181cd2-6c66-4ba6-8716-6ecde8d28563/,oigo
72,003771cd-9965-4d63-9cc3-8b44305ae7ba,29/12/2021,-2.0389832742512226 37.750071762129664 941.0 7.5,3,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive hydrophobia excessive_salivation biting_objects high_libido ,Abnormal_vocalisation.,29/12/2021 13:30,29/12/2021 13:27,muteti,31/12/2021 05:56,https://www.commcarehq.org/a/onewater/reports/form_data/003771cd-9965-4d63-9cc3-8b44305ae7ba/,muteti
73,d4cb4f30-7e83-477b-b8f4-40e2f939dc9f,30/12/2021,-1.8582553183659911 37.681130608543754 1121.0 6.0,1,---,mkn_cnty,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,30/12/2021 11:42,30/12/2021 11:40,muteti,31/12/2021 05:56,https://www.commcarehq.org/a/onewater/reports/form_data/d4cb4f30-7e83-477b-b8f4-40e2f939dc9f/,muteti
74,656d6a27-9598-44a8-a65a-5f0d9dd2803b,01/01/2022,-0.1908178 34.3248385 1155.0 7.5,1,---,sia_cnty,---,Rarieda,---,West Asembo,toll_free_line,1,aggressive running_aimlessly high_libido,---,01/01/2022 09:15,01/01/2022 09:14,oigo,01/01/2022 09:15,https://www.commcarehq.org/a/onewater/reports/form_data/656d6a27-9598-44a8-a65a-5f0d9dd2803b/,oigo
75,ec21ef68-13f4-4df7-90ad-c0d8969a2cf0,27/12/2021,-0.1224183 34.2525717 1207.09 7.1,1,---,sia_cnty,---,Bondo,---,Central Sakwa,toll_free_line,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects paralysis,---,27/12/2021 08:28,27/12/2021 08:27,tabala,04/01/2022 08:12,https://www.commcarehq.org/a/onewater/reports/form_data/ec21ef68-13f4-4df7-90ad-c0d8969a2cf0/,tabala
76,e60e69c1-d641-4f79-a905-c03f0925f0d6,14/01/2022,-0.0640961 34.0814785 1116.0 7.5,1,---,sia_cnty,---,Bondo,---,Yimbo East,community,1,running_aimlessly biting_objects,---,14/01/2022 10:27,14/01/2022 10:26,oigo,14/01/2022 10:27,https://www.commcarehq.org/a/onewater/reports/form_data/e60e69c1-d641-4f79-a905-c03f0925f0d6/,oigo
77,79c5f9e1-96df-4371-8ed6-9365cff1a3c2,18/01/2022,-0.0333599 34.1584061 1155.0 6.5,1,---,sia_cnty,---,Bondo,---,Yimbo East,health_worker,1,aggressive running_aimlessly biting_objects,---,18/01/2022 10:21,18/01/2022 10:20,oigo,18/01/2022 10:21,https://www.commcarehq.org/a/onewater/reports/form_data/79c5f9e1-96df-4371-8ed6-9365cff1a3c2/,oigo
78,19f3cad3-f1c5-46f2-8636-bbfae320595e,27/01/2022,-1.3950553815811872 37.688366789370775 1213.0 8.0,1,---,mkn_cnty,Mbooni,---,Kalawa,---,community,1,aggressive running_aimlessly excessive_salivation biting_objects,---,27/01/2022 11:08,27/01/2022 11:05,muteti,31/01/2022 06:50,https://www.commcarehq.org/a/onewater/reports/form_data/19f3cad3-f1c5-46f2-8636-bbfae320595e/,muteti
79,32fe031c-4deb-4dae-ad98-69264f9eb7b6,31/01/2022,-1.8152316 37.6304977 1114.0 4.87,1,---,mkn_cnty,Makueni,---,Wote,---,health_worker,1,aggressive running_aimlessly biting_objects ,Biting_animals_and_dogs,31/01/2022 14:13,31/01/2022 14:09,jim,31/01/2022 14:13,https://www.commcarehq.org/a/onewater/reports/form_data/32fe031c-4deb-4dae-ad98-69264f9eb7b6/,jim
80,b006dde8-3aa9-4d6d-a1b7-1b6e921edecb,31/01/2022,-0.0511755 34.1472944 1140.09 4.5,1,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,31/01/2022 13:22,31/01/2022 13:21,tabala,31/01/2022 14:39,https://www.commcarehq.org/a/onewater/reports/form_data/b006dde8-3aa9-4d6d-a1b7-1b6e921edecb/,tabala
81,b74fb460-d170-4d87-a0d6-f67efc47cdc8,05/02/2022,-0.0597567 34.1457683 1124.9 5.3,1,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly excessive_salivation biting_objects high_libido paralysis,---,05/02/2022 12:39,05/02/2022 12:38,tabala,05/02/2022 12:48,https://www.commcarehq.org/a/onewater/reports/form_data/b74fb460-d170-4d87-a0d6-f67efc47cdc8/,tabala
82,2020ee7d-ba26-4fef-a25c-e272bcf09333,10/02/2022,0.0987504 34.2226898 1213.0 9.75,5,---,sia_cnty,---,Alego_Usonga,---,Central Alego,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation,---,10/02/2022 09:55,10/02/2022 09:53,oigo,10/02/2022 09:55,https://www.commcarehq.org/a/onewater/reports/form_data/2020ee7d-ba26-4fef-a25c-e272bcf09333/,oigo
83,89416bb8-5197-47e0-a2dc-f92e694e20ac,10/02/2022,0.0864564 34.1967015 1238.8 3.9,1,---,sia_cnty,---,Alego_Usonga,---,West Alego,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido,---,10/02/2022 12:04,10/02/2022 12:02,tabala,10/02/2022 12:04,https://www.commcarehq.org/a/onewater/reports/form_data/89416bb8-5197-47e0-a2dc-f92e694e20ac/,tabala
84,ca66e12c-7afc-4826-a824-54af1b22af63,11/02/2022,-1.7516776 37.6623483 1071.0 7.0,1,---,mkn_cnty,Mbooni,---,Waia / Kako,---,health_worker,1,running_aimlessly excessive_salivation ,Anorexia,11/02/2022 10:34,11/02/2022 10:32,jim,11/02/2022 10:34,https://www.commcarehq.org/a/onewater/reports/form_data/ca66e12c-7afc-4826-a824-54af1b22af63/,jim
85,4f001650-d8c9-446d-91b5-5565cc9e1602,13/02/2022,0.0555358 34.3062222 0.0 3700.0,1,---,sia_cnty,---,Alego_Usonga,---,Siaya Township,health_worker,1,aggressive excessive_salivation biting_objects high_libido paralysis,---,13/02/2022 15:23,13/02/2022 15:19,tabala,13/02/2022 15:24,https://www.commcarehq.org/a/onewater/reports/form_data/4f001650-d8c9-446d-91b5-5565cc9e1602/,tabala
86,3caa0c1c-c62d-4b5d-867b-a711c81ab719,14/02/2022,-1.9981000805273652 37.8240817040205 967.0 9.0,1,---,mkn_cnty,Makueni,---,Kitise / Kithuki,---,health_worker,1,aggressive excessive_salivation biting_objects,---,14/02/2022 10:55,14/02/2022 10:52,muteti,14/02/2022 10:55,https://www.commcarehq.org/a/onewater/reports/form_data/3caa0c1c-c62d-4b5d-867b-a711c81ab719/,muteti
87,61d7c8fa-3b5c-4e99-9775-0df2c1f18225,14/02/2022,-1.851837756112218 37.880335338413715 807.0 7.0,3,---,mkn_cnty,Makueni,---,Mavindini,---,health_worker,1,aggressive hydrophobia biting_objects,---,14/02/2022 13:24,14/02/2022 13:22,muteti,14/02/2022 13:24,https://www.commcarehq.org/a/onewater/reports/form_data/61d7c8fa-3b5c-4e99-9775-0df2c1f18225/,muteti
88,a8951219-c989-4196-9975-fde6c7700177,14/02/2022,-1.8519054 37.8803763 830.0 8.0,3,---,mkn_cnty,Makueni,---,Mavindini,---,health_worker,1,---,Was_bitten_by_her_rabid_mother,14/02/2022 13:27,14/02/2022 13:25,jim,14/02/2022 13:27,https://www.commcarehq.org/a/onewater/reports/form_data/a8951219-c989-4196-9975-fde6c7700177/,jim
89,66416a54-c8ee-4df2-b7b1-5edee83cf9e0,17/02/2022,0.0935377 34.2324974 1228.0 17.0,5,---,sia_cnty,---,Alego_Usonga,---,Central Alego,health_worker,1,hydrophobia excessive_salivation paralysis,---,17/02/2022 11:49,17/02/2022 11:47,oigo,17/02/2022 11:49,https://www.commcarehq.org/a/onewater/reports/form_data/66416a54-c8ee-4df2-b7b1-5edee83cf9e0/,oigo
90,72d999e8-7e6c-48f9-9ac9-7530984afa1b,20/02/2022,-0.0321981 34.1592096 1170.59 3.9,5,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly hydrophobia excessive_salivation high_libido,---,20/02/2022 09:14,20/02/2022 09:12,tabala,20/02/2022 09:14,https://www.commcarehq.org/a/onewater/reports/form_data/72d999e8-7e6c-48f9-9ac9-7530984afa1b/,tabala
91,db830cc9-626a-48be-9d52-f6710dfb6df8,25/02/2022,-1.900881570763886 37.73942682892084 1042.0 6.5,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,0,---,---,25/02/2022 12:41,25/02/2022 12:39,muteti,01/03/2022 06:21,https://www.commcarehq.org/a/onewater/reports/form_data/db830cc9-626a-48be-9d52-f6710dfb6df8/,muteti
92,f1959d62-b58e-4e74-b566-eb80522fca85,25/02/2022,-1.9044190272688866 37.64380590990186 1083.0 9.0,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,25/02/2022 15:44,25/02/2022 15:43,muteti,01/03/2022 06:21,https://www.commcarehq.org/a/onewater/reports/form_data/f1959d62-b58e-4e74-b566-eb80522fca85/,muteti
93,e559aa07-db08-4fbb-bfb9-e2657059e8d2,23/02/2022,-2.062434 37.748352 883.0 15.75,3,---,mkn_cnty,Makueni,---,Kitise / Kithuki,---,health_worker,1,aggressive running_aimlessly biting_objects high_libido,Anorexia Abnormal_vocalization,23/02/2022 08:56,23/02/2022 08:54,jim,01/03/2022 14:15,https://www.commcarehq.org/a/onewater/reports/form_data/e559aa07-db08-4fbb-bfb9-e2657059e8d2/,jim
94,78a4e93f-814c-40c0-8496-ab4619ca3916,01/03/2022,-1.8516625 37.6547936 0.0 2599.99,3,---,mkn_cnty,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive biting_objects high_libido ,Abnormal_vocalization,01/03/2022 14:21,01/03/2022 14:18,muteti,01/03/2022 14:21,https://www.commcarehq.org/a/onewater/reports/form_data/78a4e93f-814c-40c0-8496-ab4619ca3916/,muteti
95,ac9dbcc8-95d9-4a34-a20b-49eea0662cd6,03/03/2022,-0.081198 34.3879835 1354.7 3.9,1,---,sia_cnty,---,Rarieda,---,East Asembo,community,1,aggressive hydrophobia excessive_salivation biting_objects high_libido paralysis,---,03/03/2022 06:45,03/03/2022 06:43,tabala,03/03/2022 06:45,https://www.commcarehq.org/a/onewater/reports/form_data/ac9dbcc8-95d9-4a34-a20b-49eea0662cd6/,tabala
96,94632892-36a3-4695-946a-ef86ed6b1dcf,06/03/2022,-0.0935193 34.2223259 1247.5 6.21,1,---,sia_cnty,---,Bondo,---,West Sakwa,community,1,aggressive running_aimlessly excessive_salivation biting_objects high_libido paralysis,---,06/03/2022 09:48,06/03/2022 09:45,tabala,06/03/2022 09:48,https://www.commcarehq.org/a/onewater/reports/form_data/94632892-36a3-4695-946a-ef86ed6b1dcf/,tabala
97,b1fc7a50-b03f-4b87-bdab-0c83fd8b2b65,08/03/2022,-1.7767430702224374 37.651226157322526 1061.0 7.5,1,---,mkn_cnty,Makueni,---,Wote,---,health_worker,1,excessive_salivation paralysis,---,08/03/2022 08:37,08/03/2022 08:36,muteti,08/03/2022 08:38,https://www.commcarehq.org/a/onewater/reports/form_data/b1fc7a50-b03f-4b87-bdab-0c83fd8b2b65/,muteti
98,c51ee7ce-8bdf-43a4-ac01-9776c33c2444,08/03/2022,-1.7862470587715507 37.627882305532694 1109.0 8.5,1,---,mkn_cnty,Makueni,---,Wote,---,health_worker,1,excessive_salivation paralysis,---,08/03/2022 16:31,08/03/2022 16:30,muteti,10/03/2022 22:02,https://www.commcarehq.org/a/onewater/reports/form_data/c51ee7ce-8bdf-43a4-ac01-9776c33c2444/,muteti
99,053f5a5a-5634-4a2f-ae2f-5f8a0212aeaa,10/03/2022,-1.7636173451319337 37.63430275954306 1100.0 6.5,1,---,mkn_cnty,Makueni,---,Wote,---,health_worker,1,aggressive running_aimlessly biting_objects,---,10/03/2022 10:00,10/03/2022 09:59,muteti,10/03/2022 22:02,https://www.commcarehq.org/a/onewater/reports/form_data/053f5a5a-5634-4a2f-ae2f-5f8a0212aeaa/,muteti
100,34f9e6a6-7e09-4829-b499-202ac2a6eb54,12/03/2022,-1.8359362 37.8649977 905.0 8.0,1,---,mkn_cnty,Makueni,---,Mavindini,---,community,1,aggressive running_aimlessly ,Biting_animals,12/03/2022 05:44,12/03/2022 05:42,jim,12/03/2022 05:44,https://www.commcarehq.org/a/onewater/reports/form_data/34f9e6a6-7e09-4829-b499-202ac2a6eb54/,jim
101,82e05969-38cb-4943-b4ce-7cec25c53625,26/02/2022,-0.1389228 34.1935759 1167.0 9.0,1,---,sia_cnty,---,Bondo,---,Central Sakwa,community,1,running_aimlessly hydrophobia excessive_salivation biting_objects,---,26/02/2022 08:05,26/02/2022 08:04,oigo,13/03/2022 14:08,https://www.commcarehq.org/a/onewater/reports/form_data/82e05969-38cb-4943-b4ce-7cec25c53625/,oigo
102,8ad21540-7b99-4785-8194-7cd832c86a8a,13/03/2022,0.1063233 34.5162148 1447.0 11.5,1,---,sia_cnty,---,Gem,---,Yala,toll_free_line,0,---,---,13/03/2022 14:09,13/03/2022 14:06,oigo,13/03/2022 14:09,https://www.commcarehq.org/a/onewater/reports/form_data/8ad21540-7b99-4785-8194-7cd832c86a8a/,oigo
103,5af8ff63-6216-4dd6-9a9c-f5a366ec3b67,16/03/2022,-0.0321072 34.1565658 1159.2 3.9,1,---,sia_cnty,---,Bondo,---,Yimbo East,toll_free_line,1,aggressive running_aimlessly hydrophobia biting_objects high_libido paralysis,---,16/03/2022 14:39,16/03/2022 14:38,tabala,16/03/2022 14:46,https://www.commcarehq.org/a/onewater/reports/form_data/5af8ff63-6216-4dd6-9a9c-f5a366ec3b67/,tabala
104,3f50b695-c820-456e-83ed-c18fa61f93bd,18/03/2022,0.0876167 34.1993533 1208.7 3.96,1,---,sia_cnty,---,Alego_Usonga,---,West Alego,toll_free_line,1,aggressive running_aimlessly excessive_salivation biting_objects high_libido paralysis,---,18/03/2022 08:25,18/03/2022 08:02,tabala,18/03/2022 08:25,https://www.commcarehq.org/a/onewater/reports/form_data/3f50b695-c820-456e-83ed-c18fa61f93bd/,tabala
105,d8f6f1ac-1944-4105-b729-bf65fac89ea6,20/03/2022,-0.2885262 34.305724 1177.0 7.0,1,---,sia_cnty,---,Rarieda,---,West Uyoma,health_worker,1,aggressive hydrophobia excessive_salivation biting_objects,---,20/03/2022 10:18,20/03/2022 10:15,oigo,20/03/2022 10:18,https://www.commcarehq.org/a/onewater/reports/form_data/d8f6f1ac-1944-4105-b729-bf65fac89ea6/,oigo
106,01c5dd41-5b56-484a-8596-d139f2e91839,14/03/2022,-1.9683431508019567 37.881371174007654 855.0 8.0,2,---,mkn_cnty,Makueni,---,Kitise / Kithuki,---,health_worker,1,aggressive running_aimlessly biting_objects,---,14/03/2022 11:16,14/03/2022 11:13,muteti,22/03/2022 10:10,https://www.commcarehq.org/a/onewater/reports/form_data/01c5dd41-5b56-484a-8596-d139f2e91839/,muteti
107,8b3f016a-9306-455c-8f33-390d16a56ccd,18/03/2022,-1.8933850061148405 37.65541492961347 1080.0 6.0,3,---,mkn_cnty,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive biting_objects high_libido,Anorexia,18/03/2022 15:13,18/03/2022 15:11,muteti,22/03/2022 10:10,https://www.commcarehq.org/a/onewater/reports/form_data/8b3f016a-9306-455c-8f33-390d16a56ccd/,muteti
108,afe9d2fb-4519-48d9-9ee2-063ef854dbf5,22/03/2022,-1.876678909175098 37.88673710078001 852.0 10.0,1,---,mkn_cnty,Makueni,---,Mavindini,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,22/03/2022 10:11,22/03/2022 10:10,muteti,22/03/2022 10:11,https://www.commcarehq.org/a/onewater/reports/form_data/afe9d2fb-4519-48d9-9ee2-063ef854dbf5/,muteti
109,8c45ea7c-61a7-4f64-a653-ce3a0667f01f,19/03/2022,-2.0784649 37.7718247 856.0 11.33,3,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects high_libido ,Anorexia,19/03/2022 06:59,19/03/2022 06:57,jim,22/03/2022 20:29,https://www.commcarehq.org/a/onewater/reports/form_data/8c45ea7c-61a7-4f64-a653-ce3a0667f01f/,jim
110,1820c068-400f-484d-a8b9-781d18e6cd6e,23/03/2022,0.1120457 34.2412478 1241.0 9.0,5,---,sia_cnty,---,Alego_Usonga,---,Central Alego,health_worker,1,aggressive running_aimlessly hydrophobia excessive_salivation high_libido,---,23/03/2022 08:43,23/03/2022 08:42,oigo,23/03/2022 08:43,https://www.commcarehq.org/a/onewater/reports/form_data/1820c068-400f-484d-a8b9-781d18e6cd6e/,oigo
111,0be5b81f-8c99-44b5-adee-7265bf69a7bd,29/03/2022,0.0388734 34.2169225 1192.5 4.9,1,---,sia_cnty,---,Alego_Usonga,---,Central Alego,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects high_libido paralysis,---,29/03/2022 07:10,29/03/2022 07:09,tabala,29/03/2022 07:12,https://www.commcarehq.org/a/onewater/reports/form_data/0be5b81f-8c99-44b5-adee-7265bf69a7bd/,tabala
112,d20bd362-8135-4374-aaa6-e19b82320385,30/03/2022,-1.9667191 37.7664408 1009.0 9.61,3,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive hydrophobia biting_objects high_libido paralysis,---,30/03/2022 08:24,30/03/2022 08:22,jim,30/03/2022 08:24,https://www.commcarehq.org/a/onewater/reports/form_data/d20bd362-8135-4374-aaa6-e19b82320385/,jim
113,13e2be60-4811-4864-af6c-2c25f3ba4574,01/04/2022,-0.2553002 34.3097779 1208.9 3.9,1,---,sia_cnty,---,Rarieda,---,West Uyoma,health_worker,1,aggressive running_aimlessly hydrophobia biting_objects high_libido paralysis,---,01/04/2022 08:13,01/04/2022 08:12,tabala,01/04/2022 08:18,https://www.commcarehq.org/a/onewater/reports/form_data/13e2be60-4811-4864-af6c-2c25f3ba4574/,tabala
114,baa222d4-d189-4a6c-b1a6-13db32097ce4,02/04/2022,0.0536117 34.2107733 1231.59 5.3,1,---,sia_cnty,---,Alego_Usonga,---,Central Alego,toll_free_line,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido paralysis,---,02/04/2022 13:24,02/04/2022 13:23,tabala,02/04/2022 13:32,https://www.commcarehq.org/a/onewater/reports/form_data/baa222d4-d189-4a6c-b1a6-13db32097ce4/,tabala
115,29bb9620-d049-4c99-81fe-e16e58e98cb4,12/04/2022,-2.5938617 38.0650083 362.0 10.7,3,---,mkn_cnty,Kibwezi_East,---,Ivingoni / Nzambani,---,health_worker,1,aggressive running_aimlessly biting_objects ,Anorexia,12/04/2022 11:11,12/04/2022 11:08,jim,12/04/2022 11:11,https://www.commcarehq.org/a/onewater/reports/form_data/29bb9620-d049-4c99-81fe-e16e58e98cb4/,jim
116,f8943eb0-bfd0-4e52-91ae-7fb36fb0cf6d,13/04/2022,-0.2621147 34.337932 1184.0 7.5,1,---,sia_cnty,---,Rarieda,---,North Uyoma,health_worker,1,aggressive running_aimlessly excessive_salivation high_libido,---,13/04/2022 05:27,13/04/2022 05:26,oigo,13/04/2022 05:27,https://www.commcarehq.org/a/onewater/reports/form_data/f8943eb0-bfd0-4e52-91ae-7fb36fb0cf6d/,oigo
117,62211d03-b4b2-4dd6-8ab8-cb59a47c8aeb,13/04/2022,-2.0162536 37.7479335 973.0 8.33,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,13/04/2022 07:23,13/04/2022 07:22,muteti,20/04/2022 12:42,https://www.commcarehq.org/a/onewater/reports/form_data/62211d03-b4b2-4dd6-8ab8-cb59a47c8aeb/,muteti
118,6e4fedf6-9480-48a4-b532-bc896de0d752,20/04/2022,-2.0574213 37.5267921 1080.0 11.05,1,---,mkn_cnty,Kibwezi_West,---,Emali / Mulala,---,toll_free_line,1,aggressive biting_objects,---,20/04/2022 12:42,20/04/2022 12:40,muteti,20/04/2022 12:43,https://www.commcarehq.org/a/onewater/reports/form_data/6e4fedf6-9480-48a4-b532-bc896de0d752/,muteti
119,b6fc7793-f960-4abb-8909-7b6e7c4cb52b,20/04/2022,0.1325182 34.4244418 1315.0 82.38,5,---,sia_cnty,---,Gem,---,North Gem,health_worker,1,aggressive excessive_salivation high_libido,---,20/04/2022 13:30,20/04/2022 13:29,oigo,20/04/2022 13:30,https://www.commcarehq.org/a/onewater/reports/form_data/b6fc7793-f960-4abb-8909-7b6e7c4cb52b/,oigo
120,a268a4eb-e5fd-449f-a09c-9d7a8dc29d03,23/04/2022,-1.8823492 37.6005636 0.0 4000.0,1,---,mkn_cnty,Makueni,---,Muvau / Kikumini,---,health_worker,1,aggressive running_aimlessly excessive_salivation paralysis,---,23/04/2022 10:13,23/04/2022 10:10,muteti,23/04/2022 10:13,https://www.commcarehq.org/a/onewater/reports/form_data/a268a4eb-e5fd-449f-a09c-9d7a8dc29d03/,muteti
121,bb627eea-e7b4-43c9-89c6-ad67ccd8e883,27/04/2022,0.0887153 34.1981338 1229.0 7.5,1,---,sia_cnty,---,Alego_Usonga,---,Central Alego,toll_free_line,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects high_libido paralysis,---,27/04/2022 14:45,27/04/2022 14:44,tabala,27/04/2022 14:45,https://www.commcarehq.org/a/onewater/reports/form_data/bb627eea-e7b4-43c9-89c6-ad67ccd8e883/,tabala
122,59e7d9b8-1561-4c1c-b58e-fa6ed21fe7ee,28/04/2022,-0.1912971 34.3248673 1156.0 4.97,1,---,sia_cnty,---,Rarieda,---,West Asembo,health_worker,0,---,---,28/04/2022 14:05,28/04/2022 14:04,tabala,28/04/2022 14:05,https://www.commcarehq.org/a/onewater/reports/form_data/59e7d9b8-1561-4c1c-b58e-fa6ed21fe7ee/,tabala
123,c3839c65-084e-4c66-9ce7-117a69f70c7a,01/05/2022,0.07509 34.1514466 1160.0 9.0,1,---,sia_cnty,---,Alego_Usonga,---,West Alego,health_worker,0,---,---,01/05/2022 07:22,01/05/2022 07:21,oigo,01/05/2022 07:23,https://www.commcarehq.org/a/onewater/reports/form_data/c3839c65-084e-4c66-9ce7-117a69f70c7a/,oigo
124,41d050b3-08ea-41e9-8d58-9e16adf66fdd,03/05/2022,-2.6185173 38.1177536 792.0 9.3,3,---,mkn_cnty,Kibwezi_East,---,Mtito Andei,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,Abnormal_vocalization,03/05/2022 09:17,03/05/2022 09:13,muteti,03/05/2022 09:19,https://www.commcarehq.org/a/onewater/reports/form_data/41d050b3-08ea-41e9-8d58-9e16adf66fdd/,muteti
125,12fc9644-d169-4a85-805f-e8307e766057,09/05/2022,-1.9565235 37.89699 847.0 4.56,2,---,mkn_cnty,Makueni,---,Kitise / Kithuki,---,toll_free_line,1,aggressive running_aimlessly biting_objects,---,09/05/2022 08:07,09/05/2022 08:05,muteti,09/05/2022 08:07,https://www.commcarehq.org/a/onewater/reports/form_data/12fc9644-d169-4a85-805f-e8307e766057/,muteti
126,b664638f-4541-41ee-9f9a-9ee9863469c7,09/05/2022,-0.1511209 34.3726216 1179.0 5.0,1,---,sia_cnty,---,Rarieda,---,East Asembo,health_worker,1,aggressive hydrophobia excessive_salivation paralysis,---,09/05/2022 10:50,09/05/2022 10:49,tabala,09/05/2022 10:51,https://www.commcarehq.org/a/onewater/reports/form_data/b664638f-4541-41ee-9f9a-9ee9863469c7/,tabala
127,18bca1b0-96f7-4cdf-9193-02ec3fabc8f1,10/05/2022,-0.0089388 34.1194591 1177.0 5.38,5,---,sia_cnty,---,Bondo,---,Yimbo East,health_worker,1,aggressive hydrophobia excessive_salivation high_libido,---,10/05/2022 06:49,10/05/2022 06:47,tabala,10/05/2022 06:49,https://www.commcarehq.org/a/onewater/reports/form_data/18bca1b0-96f7-4cdf-9193-02ec3fabc8f1/,tabala
128,bf93d647-70fd-4109-b055-638007758799,10/05/2022,-2.0353289 37.769492 1144.0 8.34,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects ,Biting_other_dogs,10/05/2022 12:25,10/05/2022 12:22,jim,10/05/2022 12:25,https://www.commcarehq.org/a/onewater/reports/form_data/bf93d647-70fd-4109-b055-638007758799/,jim
129,03aac762-627f-498e-9e18-a21b7213322c,13/05/2022,-1.8188301 37.3372644 1712.0 9.75,7,wild animal,mkn_cnty,Kilome,---,Mukaa,---,health_worker,1,aggressive running_aimlessly ,Biting_Animals,13/05/2022 13:17,13/05/2022 13:15,jim,13/05/2022 13:17,https://www.commcarehq.org/a/onewater/reports/form_data/03aac762-627f-498e-9e18-a21b7213322c/,jim
130,a2a91acc-2e44-4431-92e8-50330fd1723a,16/05/2022,-2.0027478 37.4159767 1202.0 8.5,1,---,mkn_cnty,Makueni,---,Mbitini,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects paralysis,---,16/05/2022 14:24,16/05/2022 14:22,muteti,16/05/2022 14:24,https://www.commcarehq.org/a/onewater/reports/form_data/a2a91acc-2e44-4431-92e8-50330fd1723a/,muteti
